Name;#Dockerfiles;Description;tag;dockerhub_link;dockerfile_link
eggdrop;2;The official Docker image of Eggdrop- IRC's oldest actively-developed bot!;develop;https://hub.docker.com/_/eggdrop;https://github.com/eggheads/eggdrop-docker/blob/f067a3393434028c1f1bf785a9c4ca062d477acc/develop/Dockerfile
emqx;3;The most scalable open-source MQTT broker for IoT, IIoT, connected vehicles, and more.;4.4.16;https://hub.docker.com/_/emqx;https://github.com/emqx/emqx-docker/blob/69e50460c940c4943b9051732fa155b8940e1c71/4.4/Dockerfile
express-gateway;1;The Official Docker Image of Express Gateway, an API Gateway for APIs and Microservices;1.x;https://hub.docker.com/_/express-gateway;https://github.com/ExpressGateway/docker-express-gateway/blob/fa2707c3b24bbd99710a100d7859566fa28817b8/alpine/Dockerfile
flink;16;Apache Flink® is a powerful open-source distributed stream and batch processing framework.;1.14.3-scala_2.12-java8;https://hub.docker.com/_/flink;https://github.com/apache/flink-docker/blob/312e9af1313817d78e18c9d5b6dbdff3c4e408d5/1.14/scala_2.12-java8-debian/Dockerfile
fluentd;2;Fluentd is an open source data collector for unified logging layer;v1.14.0-debian-1.0;https://hub.docker.com/_/fluentd;https://github.com/fluent/fluentd-docker-image/blob/f3d0b8370ef1714692ff2615087a6d1487a6f467/v1.14/debian/Dockerfile
friendica;9;Welcome to the free social web.;2022.05-dev-fpm-alpine;https://hub.docker.com/_/friendica;https://github.com/friendica/docker/blob/c9965262bb3dfae91189bad8f9cfb6f4fe805800/2022.05-dev/fpm-alpine/Dockerfile
gazebo;8;Gazebo is an open source project for simulating robots, offering robust physics and rendering.;libgazebo11-bionic;https://hub.docker.com/_/gazebo;https://github.com/osrf/docker_images/blob/6900fe08e79c7b70471cb10f83324ec24a906bea/gazebo/11/ubuntu/bionic/libgazebo11/Dockerfile
gcc;4;The GNU Compiler Collection is a compiling system that supports several languages.;11.2.0;https://hub.docker.com/_/gcc;https://github.com/docker-library/gcc/blob/c2c4e3ac9245fa9e5789512969cf3209e0c56136/11/Dockerfile
geonetwork;5;GeoNetwork is a FOSS catalog for spatially referenced resources.;3.12.9;https://hub.docker.com/_/geonetwork;https://github.com/geonetwork/docker-geonetwork/blob/4f7461deeb025a9cd13ca910f559c501b6745aa6/3.12.9/Dockerfile
ghost;2;Ghost is a free and open source blogging platform written in JavaScript;4.36.1;https://hub.docker.com/_/ghost;https://github.com/docker-library/ghost/blob/fdf80f1f0fca5e1612a8dcae439432d6381b959e/4/debian/Dockerfile
gradle;10;Gradle is a build tool with a focus on build automation and support for multi-language development.;6.9.2-jdk17;https://hub.docker.com/_/gradle;https://github.com/keeganwitt/docker-gradle/blob/52b6facc824989b809f42b71ea158b54e0402587/jdk17/Dockerfile
haproxy;14;HAProxy - The Reliable, High Performance TCP/HTTP Load Balancer;2.2.20;https://hub.docker.com/_/haproxy;https://github.com/docker-library/haproxy/blob/700a06f3ea366e468eea55fbabc3dc23ef1dd5a3/2.2/Dockerfile
hello-world;8;Hello World! (an example of minimal Dockerization);linux;https://hub.docker.com/_/hello-world;https://github.com/docker-library/hello-world/blob/c6676f682a833388a087758d8789b43fbe003397/amd64/hello-world/Dockerfile
hitch;1;Hitch is a libev-based high performance SSL/TLS proxy by Varnish Software.;1;https://hub.docker.com/_/hitch;https://github.com/varnish/docker-hitch/blob/054c998138c8f8ec6be03c7db711b8435de41e2b/Dockerfile
httpd;2;The Apache HTTP Server Project;2.4.52;https://hub.docker.com/_/httpd;https://github.com/docker-library/httpd/blob/a7acc047c8970e0502f4c6b577775f840f1f99b6/2.4/Dockerfile
influxdb;20;InfluxDB is an open source time series database for recording metrics, events, and analytics.;1.8;https://hub.docker.com/_/influxdb;https://github.com/influxdata/influxdata-docker/blob/04d3ed7a8f94d98e0b362b2cedb8cb13cb69836a/influxdb/1.8/Dockerfile
irssi;2;irssi - The IRC client of the future;1.4.3-alpine;https://hub.docker.com/_/irssi;https://github.com/jessfraz/irssi/blob/980ac05787b560d131fdb3cf0fc45d097fd8d366/alpine/Dockerfile
jetty;24;Jetty provides a Web server and javax.servlet container.;9.4.45-jre11-slim;https://hub.docker.com/_/jetty;https://github.com/eclipse/jetty.docker/blob/2c5947b751af36b156002440beff2a86721844e0/9.4-jre11-slim/Dockerfile
joomla;15;Joomla! is an open source content management system.;4.1.0;https://hub.docker.com/_/joomla;https://github.com/joomla-docker/docker-joomla/blob/94faec5bbf615657d27fc4e4db4d21a36cad88e5/4.1/php8.0/apache/Dockerfile
kapacitor;4;Kapacitor is an open source framework for processing, monitoring, and alerting on time series data.;1.5-alpine;https://hub.docker.com/_/kapacitor;https://github.com/influxdata/influxdata-docker/blob/1ba6abac8ca15e6e1cbcefd1ae7a5cec8c674f75/kapacitor/1.5/alpine/Dockerfile
kong;9;The Cloud-Native API Gateway for APIs and Microservices;2.6.0-ubuntu;https://hub.docker.com/_/kong;https://github.com/Kong/docker-kong/blob/37b2520bddf243a14d28fbf616cc3cccf9906d91/ubuntu/Dockerfile
lightstreamer;8;Lightstreamer is a real-time messaging server optimized for the Internet.;6.0.3;https://hub.docker.com/_/lightstreamer;https://github.com/Lightstreamer/Docker/blob/84e3f6588620183b48b7eb62a18070b793eff019/6.0/Dockerfile
mariadb;6;MariaDB Server is a high performing open source relational database, forked from MySQL.;10.6.5-focal;https://hub.docker.com/_/mariadb;https://github.com/MariaDB/mariadb-docker/blob/d711333929498046f354e14430cbe65e4767fc63/10.6/Dockerfile
matomo;3;Matomo is the leading open-source analytics platform that gives you more than powerful analytics.;4.7.1-fpm;https://hub.docker.com/_/matomo;https://github.com/matomo-org/docker/blob/62c36235282d28a085cfd374d3a91e43c9d6190c/fpm/Dockerfile
maven;22;Apache Maven is a software project management and comprehension tool.;3.9.0-ibm-semeru-11-focal;https://hub.docker.com/_/maven;https://github.com/carlossg/docker-maven/blob/ba0653e9cbde55b7806b4b99a5afcbf7ca8485d7/ibm-semeru-11-focal/Dockerfile
mediawiki;9;MediaWiki is a free software open source wiki package written in PHP.;1.37.1-fpm;https://hub.docker.com/_/mediawiki;https://github.com/wikimedia/mediawiki-docker/blob/daebab6abd474474deb62c5544127f86dd507172/1.37/fpm/Dockerfile
memcached;2;Free & open source, high-performance, distributed memory object caching system.;1.6.14-alpine;https://hub.docker.com/_/memcached;https://github.com/docker-library/memcached/blob/2826e6e778859732667a4eca2a84b47d5f3c4892/alpine/Dockerfile
mongo;48;MongoDB document databases provide high availability and easy scalability.;xenial;https://hub.docker.com/_/mongo;https://github.com/docker-library/mongo/blob/afaa3e893e677f99988f11b18e7f681ef90a5534/4.0/Dockerfile
mongo-express;2;Web-based MongoDB admin interface, written with Node.js and express;1.0.0-alpha.4;https://hub.docker.com/_/mongo-express;https://github.com/mongo-express/mongo-express-docker/blob/26e7ea94e4d222de7d52531caee52149ac093c26/Dockerfile
monica;3;Monica – the Personal Relationship Manager.;3.7.0-apache;https://hub.docker.com/_/monica;https://github.com/monicahq/docker/blob/6d256f443e7cc900b48c65a3e90472a6ef42c34c/apache/Dockerfile
mysql;4;MySQL is a widely used, open-source relational database management system (RDBMS).;8.0.32-debian;https://hub.docker.com/_/mysql;https://github.com/docker-library/mysql/blob/358c2e5ab6cd24b86a20a871820ecbc67a244368/8.0/Dockerfile.debian
nats;8;NATS is an open-source, high-performance, cloud native messaging system.;2.7.2-scratch;https://hub.docker.com/_/nats;https://github.com/nats-io/nats-docker/blob/4edda137e008eeca00abfda368971f64f597644b/2.7.2/scratch/Dockerfile
neo4j;92;Neo4j is a highly scalable, robust native graph database.;3.5.31;https://hub.docker.com/_/neo4j;https://github.com/neo4j/docker-neo4j-publish/blob/876cf20dc47018e528d01720668b7d6027c6cf04/3.5.31/community/Dockerfile
neurodebian;16;NeuroDebian provides neuroscience research software for Debian, Ubuntu, and other derivatives.;jammy;https://hub.docker.com/_/neurodebian;https://github.com/neurodebian/dockerfiles/blob/1da9308291ad33a33447519ec1835bb3e37acebc/dockerfiles/jammy/Dockerfile
nextcloud;9;A safe home for all your data;21.0.8-apache;https://hub.docker.com/_/nextcloud;https://github.com/nextcloud/docker/blob/dcf058fb559e7918cd77f5f1bb0dfdbcee813571/21/apache/Dockerfile
nginx;8;Official build of Nginx.;1.20.2-alpine-perl;https://hub.docker.com/_/nginx;https://github.com/nginxinc/docker-nginx/blob/b0e153a1b644ca8b2bd378b14913fff316e07cf2/stable/alpine-perl/Dockerfile
notary;2;Notary server and signer cooperatively handle signing and distribution of notary repositories.;signer-0.6.1-2;https://hub.docker.com/_/notary;https://github.com/docker/notary-official-images/blob/fe7543aa8fc466423578b726570192028bbb818c/notary-signer/Dockerfile
odoo;3;Odoo (formerly known as OpenERP) is a suite of open-source business apps.;13.0;https://hub.docker.com/_/odoo;https://github.com/odoo/docker/blob/a88f54774e82c3c9a96474f5ae8ddc1153a690e5/13.0/Dockerfile
open-liberty;24;Open Liberty multi-architecture images based on Ubuntu 18.04;23.0.0.2-kernel-slim-java11-openj9;https://hub.docker.com/_/open-liberty;https://github.com/OpenLiberty/ci.docker/blob/90f33b0ef4b2ea99642cfd582a7aad41f07634de/releases/23.0.0.2/kernel-slim/Dockerfile.ubuntu.openjdk11
orientdb;10;OrientDB a Multi-Model Open Source NoSQL DBMS that combines graphs and documents.;3.0.42;https://hub.docker.com/_/orientdb;https://github.com/orientechnologies/orientdb-docker/blob/36ca408836d0dac2789de796e6e2545bac40ed07/release/3.0.x/3.0.42/Dockerfile
percona;8;Percona Server is a fork of the MySQL relational database management system created by Percona.;8.0.29-21-centos;https://hub.docker.com/_/percona;https://github.com/percona/percona-docker/blob/f7a1ff5101f7572296fec3f4f4d0d7a666a219a8/percona-server-8.0/Dockerfile
php-zendserver;4;Zend Server - the integrated PHP application platform for mobile and web apps.;2021.0;https://hub.docker.com/_/php-zendserver;https://github.com/zendtech/php-zendserver-docker/blob/bcd65b82acb4f3b5b67f8c657c52f08bc52d8789/2021.0/Dockerfile
phpmyadmin;3;phpMyAdmin - A web interface for MySQL and MariaDB.;5.1.3-fpm-alpine;https://hub.docker.com/_/phpmyadmin;https://github.com/phpmyadmin/docker/blob/2b79d7100216ec96d18e0b89508a48fa89c11dd8/fpm-alpine/Dockerfile
plone;3;Plone is a free and open source content management system built on top of Zope.;5.2.6-python38;https://hub.docker.com/_/plone;https://github.com/plone/plone.docker/blob/a93b111b144ee7db61b7567926dfa3cee51d0960/5.2/5.2.6/debian/Dockerfile
postfixadmin;3;Postfix Admin - web based administration interface for Postfix mail servers.;3.3.10-fpm;https://hub.docker.com/_/postfixadmin;https://github.com/postfixadmin/docker/blob/ea14b3035ab978ed104ca76e8ded6a8c438da3d0/fpm/Dockerfile
postgres;12;The PostgreSQL object-relational database system provides reliability and data integrity.;14.2-alpine;https://hub.docker.com/_/postgres;https://github.com/docker-library/postgres/blob/36abfddd6f7235770d00f8546b199936b0ca77aa/14/alpine/Dockerfile
rabbitmq;8;RabbitMQ is an open source multi-protocol messaging broker.;3.8.27-management-alpine;https://hub.docker.com/_/rabbitmq;https://github.com/docker-library/rabbitmq/blob/0d1c84a50aa69305b2fa3e98632a206d3d2a3f9f/3.8/alpine/management/Dockerfile
rakudo-star;2;Rakudo is a compiler for the Raku programming language.;alpine;https://hub.docker.com/_/rakudo-star;https://github.com/Raku/docker/blob/d6873e88a8979536ba7d485aef309b7126965e0d/2023.02/alpine3.17/Dockerfile
redis;9;Redis is an open source key-value store that functions as a data structure server.;5.0.14;https://hub.docker.com/_/redis;https://github.com/docker-library/redis/blob/a04a6df0a45894e1a630db4e84e0c12c7bcf326a/5/Dockerfile
redmine;9;Redmine is a flexible project management web application written using Ruby on Rails framework;4.2.3-alpine;https://hub.docker.com/_/redmine;https://github.com/docker-library/redmine/blob/fc6ec50449a879f8bd4b30ab0e0e2fd533931cdc/4.2/alpine/Dockerfile
registry;1;The Docker Registry 2.0 implementation for storing and distributing Docker images;2.8.0;https://hub.docker.com/_/registry;https://github.com/docker/distribution-library-image/blob/5fd2614beccba35242694b13f8a37653c05ea852/Dockerfile
rethinkdb;2;RethinkDB is an open-source, document database that makes it easy to build and scale realtime apps.;2.4.1-buster-slim;https://hub.docker.com/_/rethinkdb;https://github.com/rethinkdb/rethinkdb-dockerfiles/blob/bfe019bd289169c95503283d73a0fc223576b0ae/buster/2.4.1/Dockerfile
rocket.chat;5;The Complete Open Source Chat Solution;3.18.5;https://hub.docker.com/_/rocket.chat;https://github.com/RocketChat/Docker.Official.Image/blob/ae53b3e00e74e77e4141c435ee8b24ab010798c0/3.18/Dockerfile
satosa;2;SATOSA translates between authentication protocols such as SAML2, OpenID Connect, and OAuth2.;8.2.0-bullseye;https://hub.docker.com/_/satosa;https://github.com/IdentityPython/satosa-docker/blob/a4ef0077f546b7e9be444720b14f2cba14f8f2eb/8.2/bullseye/Dockerfile
silverpeas;3;Silverpeas is a turnkey and open-source Collaborative and Social-Networking Portal.;6.3;https://hub.docker.com/_/silverpeas;https://github.com/Silverpeas/docker-silverpeas-prod/blob/cab21d1a3a25bf15d24f27a156d3df894123bb10/Dockerfile
solr;30;Solr is the popular, blazing-fast, open source enterprise search platform built on Apache Lucene™.;8.4.1;https://hub.docker.com/_/solr;https://github.com/docker-solr/docker-solr/blob/d9aceb632fcad5d5e7ab42b94dd25a008f5b9112/8.4/Dockerfile
sonarqube;10;SonarQube is an open source platform for continuous inspection of code quality.;9.3.0-datacenter-search;https://hub.docker.com/_/sonarqube;https://github.com/SonarSource/docker-sonarqube/blob/3f19b396006f2a8466854cae90329a55692fa073/9/datacenter/search/Dockerfile
spiped;2;Spiped is a utility for creating symmetrically encrypted and authenticated pipes between sockets.;1.6.2-alpine;https://hub.docker.com/_/spiped;https://github.com/TimWolla/docker-spiped/blob/ac0eceed1b934846eab1149a1ffabcaea91127c6/1.6/alpine/Dockerfile
storm;2;Apache Storm is a free and open source distributed realtime computation system.;1.2.4;https://hub.docker.com/_/storm;https://github.com/31z4/storm-docker/blob/0edbf5c601361a8e89aa48e25d09d424996e8239/1.2.4/Dockerfile
teamspeak;1;TeamSpeak is software for quality voice communication via the Internet.;3.13;https://hub.docker.com/_/teamspeak;https://github.com/TeamSpeak-Systems/teamspeak-linux-docker-images/blob/ab76b77f97ba4c150126aaa6a045d3c7f8265ae9/alpine/Dockerfile
telegraf;6;Telegraf is an agent for collecting metrics and writing them to InfluxDB or other outputs.;1.24;https://hub.docker.com/_/telegraf;https://github.com/influxdata/influxdata-docker/blob/f772a3a16f222b2445697b846d55c45980a2e033/telegraf/1.24/Dockerfile
tomcat;109;Apache Tomcat is an open source implementation of the Java Servlet and JavaServer Pages technologies;10.1.0-M12-jre11-openjdk-slim-bullseye;https://hub.docker.com/_/tomcat;https://github.com/docker-library/tomcat/blob/0cdcf3f6fcdf07c70dbf4becc955045cec604d85/10.1/jre11/openjdk-slim-bullseye/Dockerfile
tomee;23;Apache TomEE is an all-Apache Java EE certified stack where Apache Tomcat is top dog.;jre17-plume;https://hub.docker.com/_/tomee;https://github.com/tomitribe/docker-tomee/blob/14d51e67fad7eb358b39fcc09fa9cd0e7e205968/TomEE-8.0/jre17/Temurin/ubuntu/plume/Dockerfile
traefik;5;Traefik, The Cloud Native Edge Router;v2.6.1;https://hub.docker.com/_/traefik;https://github.com/traefik/traefik-library-image/blob/19b29d4858c12d74647d59214e0a9417646343ca/alpine/Dockerfile
varnish;5;Varnish is an HTTP accelerator designed for content-heavy dynamic web sites as well as APIs.;stable;https://hub.docker.com/_/varnish;https://github.com/varnish/docker-varnish/blob/d1212e4b8fd35b58c19b01ed389f8841d0a4ea38/stable/debian/Dockerfile
vault;4;Vault is a tool for securely accessing secrets via a unified interface and tight access control.;1.9.3;https://hub.docker.com/_/vault;https://github.com/hashicorp/docker-vault/blob/fca519d5cb74d47f18559fbd3dbca6b8feee8fae/0.X/Dockerfile
websphere-liberty;10;WebSphere Liberty multi-architecture images based on Ubuntu 18.04;23.0.0.3-kernel-java11-openj9;https://hub.docker.com/_/websphere-liberty;https://github.com/WASdev/ci.docker/blob/a1858e2b54987a75536dbb6a984cfe2056240958/ga/23.0.0.3/kernel/Dockerfile.ubuntu.openjdk11
wordpress;16;The WordPress rich content management system can utilize plugins, widgets, and themes.;cli-2.6.0-php8.1;https://hub.docker.com/_/wordpress;https://github.com/docker-library/wordpress/blob/376f01affcaacac50d8416b5f7f4abb34d6b60d2/cli/php8.1/alpine/Dockerfile
xwiki;6;XWiki: The Advanced Open Source Enterprise Wiki.;13-mariadb-tomcat;https://hub.docker.com/_/xwiki;https://github.com/xwiki-contrib/docker-xwiki/blob/81320f6e74ec8afc478bddbdd0d732856b38e488/13/mariadb-tomcat/Dockerfile
yourls;3;YOURLS is a set of PHP scripts that will allow you to run Your Own URL Shortener.;1.8.2-apache;https://hub.docker.com/_/yourls;https://github.com/YOURLS/docker-yourls/blob/718a26f9f501c6fba49808d004b9d0fade096b12/apache/Dockerfile
znc;2;ZNC - An advanced IRC bouncer;1.8.2;https://hub.docker.com/_/znc;https://github.com/znc/znc-docker/blob/525355817a4d17a68e7d7ded3f5bc36f2e8b6da5/full/Dockerfile
zookeeper;3;Apache ZooKeeper is an open-source server which enables highly reliable distributed coordination.;3.7.1-temurin;https://hub.docker.com/_/zookeeper;https://github.com/31z4/zookeeper-docker/blob/5cf119d9c5d61024fdba66f7be707413513a8b0d/3.7.1/Dockerfile
